shortName,symbol,fullExchangeName,dividendDate,trailingAnnualDividendRate,trailingAnnualDividendYield
Apartment Investment and Manage,AIV,NYSE,2022-09-29 19:00:00,0.0,0.0
WisdomTree International AI Enh,AIVI,NYSEArca,,,
WisdomTree U.S. AI Enhanced Val,AIVL,NYSEArca,,,
XIAO-I Corporation,AIXI,NasdaqGM,,0.0,0.0
"Assurant, Inc.",AIZ,NYSE,2023-03-19 19:00:00,2.74,0.024635857
"Assurant, Inc. 5.25% Subordinat",AIZN,NYSE,2023-04-14 19:00:00,,
Arthur J. Gallagher & Co.,AJG,NYSE,2023-03-16 19:00:00,2.04,0.011519566
"Aerojet Rocketdyne Holdings, In",AJRD,NYSE,2021-03-23 19:00:00,0.0,0.0
Great Ajax Corp.,AJX,NYSE,2023-03-30 19:00:00,1.06,0.16459626
Great Ajax Corp. 7.25% Converti,AJXA,NYSE,2019-01-14 18:00:00,1.18,0.049351733
a.k.a. Brands Holding Corp.,AKA,NYSE,,0.0,0.0
"Akamai Technologies, Inc.",AKAM,NasdaqGS,,0.0,0.0
Akanda Corp.,AKAN,NasdaqCM,,0.0,0.0
"Akebia Therapeutics, Inc.",AKBA,NasdaqCM,,0.0,0.0
"Akili, Inc.",AKLI,NasdaqCM,,0.0,0.0
Embotelladora Andina S.A.,AKO-A,NYSE,2023-02-06 18:00:00,0.0,0.0
Embotelladora Andina S.A.,AKO-B,NYSE,2023-02-06 18:00:00,0.0,0.0
Acadia Realty Trust,AKR,NYSE,2023-04-13 19:00:00,0.72,0.052516412
"Akero Therapeutics, Inc.",AKRO,NasdaqGS,,0.0,0.0
"Akoustis Technologies, Inc.",AKTS,NasdaqCM,,0.0,0.0
Akari Therapeutics Plc,AKTX,NasdaqCM,,0.0,0.0
Akumin Inc.,AKU,NasdaqCM,,0.0,0.0
"Akoya BioSciences, Inc.",AKYA,NasdaqGS,,0.0,0.0
Air Lease Corporation,AL,NYSE,2023-04-11 19:00:00,0.755,0.01994716
Alarum Technologies Ltd.,ALAR,NasdaqCM,2019-10-20 19:00:00,0.0,0.0
Albemarle Corporation,ALB,NYSE,2023-04-02 19:00:00,1.58,0.007383178
Avalon GloboCare Corp.,ALBT,NasdaqCM,,0.0,0.0
Alcon Inc.,ALC,NYSE,2022-05-04 19:00:00,0.227,0.003482129
